Spanish,English,Type
"limpiar
","limpiar
"
"llamar
","llamar
"
"llamar (a la puerta), golpear
","llamar (a la puerta), golpear
"
"llamar (por teléfono)/sonar
","llamar (por teléfono)/sonar
"
"llamarse
","llamarse
"
"llegar
","llegar
"
"llenar
","llenar
"
"llenar, rellenar
","llenar, rellenar
"
"llevar
","llevar
"
"llevarse bien con
","llevarse bien con
"
"llevarse mal con
","llevarse mal con
"
"llorar
","llorar
"
"llover
","llover
"
"llover
","llover
"
"lograr, triunfar
","lograr, triunfar
"
"luchar contra
","luchar contra
"
"maltratar
","maltratar
"
"el maltrato
","el maltrato
"
"mandar
","mandar
"
"mandar, enviar
","mandar, enviar
"
"mantener el contacto
","mantener el contacto
"
"maquillarse
","maquillarse
"
"maquillarse, pintarse
","maquillarse, pintarse
"
"marcar un gol
","marcar un gol
"
"marcar un número (para mensajes)
","marcar un número (para mensajes)
"
"marcharse
","marcharse
"
"medir
","medir
"
"mirar
","mirar
"
"mejorar
","mejorar
"
"merecer
","merecer
"
"molestar, irritar, fastidiar
","molestar, irritar, fastidiar
"
"monopatinar
","monopatinar
"
"montar
","montar
"
"montar a caballo
","montar a caballo
"
"morir
","morir
"
"morir
","morir
"
"mostrar/enseñar
","mostrar/enseñar
"
"nacer
","nacer
"
"nadar
","nadar
"
"navegar en Internet
","navegar en Internet
"
"necesitar
","necesitar
"
"nevar
","nevar
"
"notar, darse cuenta
","notar, darse cuenta
"
"odiar/detestar
","odiar/detestar
"
"ofrecer
","ofrecer
"
"ofrecer/dar (regalos)/regalar
","ofrecer/dar (regalos)/regalar
"
"oír
","oír
"
"oler
","oler
"
"olvidar
","olvidar
"
"opinar
","opinar
"
"organizar
","organizar
"
"pagar
","pagar
"
"pagar
","pagar
"
"parar(se)
","parar(se)
"
"parecer
","parecer
"
"parecer
","parecer
"
"parecerse a
","parecerse a
"
"pasar
","pasar
"
"pasar
","pasar
"
"pasar la aspiradora
","pasar la aspiradora
"
"pasearse, ir de paseo, dar un paseo
","pasearse, ir de paseo, dar un paseo
"
"patinar
","patinar
"
"patinar sobre ruedas
","patinar sobre ruedas
"
"pedir
","pedir
"
"pedir (comida en el restaurante)
","pedir (comida en el restaurante)
"
"pedir prestado
","pedir prestado
"
"pegar
","pegar
"
"peinarse
","peinarse
"
"pensar, creer
","pensar, creer
"
"perder
","perder
"
"perder
","perder
"
"perdonar
","perdonar
"
"permitir
","permitir
"
"pesar
","pesar
"
"pescar/ir de pesca
","pescar/ir de pesca
"
"planchar
","planchar
"
"poder, ser capaz de
","poder, ser capaz de
"
"poner
","poner
"
"poner la mesa
","poner la mesa
"
"ponerse de acuerdo
","ponerse de acuerdo
"
"practicar
","practicar
"
"preferir
","preferir
"
"preguntar
","preguntar
"
"preocuparse
","preocuparse
"
"presentar
","presentar
"
"presentarse uno mismo
","presentarse uno mismo
"
"prestar
","prestar
"
"prestar atención, tener cuidado
","prestar atención, tener cuidado
"
"prevenir
","prevenir
"
"prohibir
","prohibir
"
"prometer
","prometer
"
"prometerse
","prometerse
"
"pronunciar
","pronunciar
"
"proteger
","proteger
"
"proteger
","proteger
"
"quedar
","quedar
"
"quedarse
","quedarse
"
"quejarse
","quejarse
"
"quemar
","quemar
"
"querer
","querer
"
"querer, amar
","querer, amar
"
"querer decir
","querer decir
"
"quitar la mesa
","quitar la mesa
"
"recaudar
","recaudar
"
"recibir, acoger
","recibir, acoger
"
"reciclar
","reciclar
"
"recomendar
","recomendar
"
"reembolsar
","reembolsar
"
"reemplazar
","reemplazar
"
"reflejar
","reflejar
"
"reír
","reír
"
"rellenar (una ficha)
","rellenar (una ficha)
"
"rellenar un formulario
","rellenar un formulario
"
"reparar
","reparar
"
"repasar
","repasar
"
"repetir
","repetir
"
"repetir (un año)
","repetir (un año)
"
"reponer
","reponer
"
"reservar
","reservar
"
"respetar
","respetar
"
"responder
","responder
"
"robar
","robar
"
